Country Name,Country Code,DengueCase,UNWASHD,POPUSESAFEDW,WASHDEV,POPUSESAFEW,BASSAN,POPUSESAFES,SAFETWASH,BASHAN
Peru,PER,192168.81,7.6,121400000,16.8593,51.26413,78.57670211,52.80961836,,
Egypt,EGY,182969.52,4.8,48500000,365.2788,,97.32547363,67.06102993,45.54527,89.83093302
Uganda,UGA,168218.56,28.1,,167.6485,16.64791,19.78963715,,,22.59047647
Cote d'Ivoire,CIV,161734.52,2.7,192310000,15.0445,35.20478,34.5659625,,,21.62137555
Cameroon,CMR,158270.16,47.3,,82.2159,,44.63112443,,,36.41861482
Mozambique,MOZ,148376.62,45.6,,132.4258,,37.20486798,,,12.22698339
Sudan,SDN,142860.38,15.8,,32.5916,,36.89208291,,,12.51129099
Angola,AGO,138154.67,48.9,,4.6113,,51.66032915,,,27.09419377
Guatemala,GTM,134198.38,15.3,,8.585,55.83408,67.92858108,,,76.76641791
Honduras,HND,126555.945,7.1,,64.6026,,83.77658071,49.67509858,,84.16925289
Bolivia,BOL,114122.8,14.3,,110.4733,,65.75642485,52.92221398,58.29204,26.93652778
Burkina Faso,BFA,113650.73,60.9,,82.8001,,21.6643726,,,9.008969161
Argentina,ARG,111964.48,11.4,34650000,32.5817,,,,36.48388,
Mali,MLI,107984.8,66.1,,117.2444,,45.39420987,19.9246421,,17.02576795
Nicaragua,NIC,106559.88,3.5,,157.3534,55.51592,73.02109747,,,
Madagascar,MDG,102660.25,40.1,,51.1373,20.53938,12.31140011,10.37903328,9.30359,26.56996593
Niger,NER,99585.65,70.3,,201.4859,21.66929,14.75130566,16.18740843,4.00021,23.48584637
Ecuador,ECU,98602.164,4.7,26490000,61.9921,66.82666,91.52492213,41.63194052,31.11171,87.1749631
Paraguay,PRY,95979.3,4.6,,21.5727,64.08422,92.7207854,60.12617184,,80.15306083
Laos,LAO,94474.39,20.5,,73.9795,17.6819,79.48011751,61.38126571,10.09606,55.62990605
Yemen,YEM,92965.26,15.6,,51.9732,,54.11663604,18.83797863,34.40292,
Somalia,SOM,92710.62,99.2,,22.2842,,39.30661638,31.51954306,,24.94545509
Saudi Arabia,SAU,92570.805,1.9,,,,100,59.11357539,79.63548,
Haiti,HTI,83454.86,25.9,,30.1803,,37.12173441,,,22.37304344
El Salvador,SLV,81442.26,6.1,,278.0946,,82.44975254,,12.94984,90.69958038
Benin,BEN,78115.08,60.2,,42.542,,16.96288434,,,12.03316224
Dominican Republic,DOM,77773.59,5.8,,191.9669,,87.17818151,,,46.90197801
Guinea,GIN,76456.945,57.8,,10.6566,,29.77614039,,,20.47695921
Senegal,SEN,76394.22,31.7,,128.8568,,56.77646012,24.12373836,14.16667,22.01142292
Afghanistan,AFG,73340.28,16.6,,140.2894,27.58896,50.49964687,,,38.11505004
Zambia,ZMB,73301.2,35.8,,68.8595,,31.89963255,,,17.93392656
Chad,TCD,72615.01,99.2,,29.9994,5.59148,12.06370114,10.13711759,2.26226,25.30452727
Cuba,CUB,72273.62,1.6,,15.9351,,91.35635221,36.63753199,24.18225,92.20205279
Malawi,MWI,70117.48,30.8,,90.4723,,26.55426445,24.2109328,6.47575,8.258624263
Australia,AUS,55234.996,1.9,,,,99.99115238,74.25949441,76.1718,
Sierra Leone,SLE,49599.145,69.5,,,10.62058,16.50967615,14.04994901,8.392,21.09710911
Togo,TGO,48077.43,42.4,,9.9729,19.56098,18.60319806,9.134181091,15.0379,17.14668514
Costa Rica,CRI,44782.566,2.9,,3.8733,80.51605,97.91499372,30.20443582,23.27405,85.91586591
Panama,PAN,40066.71,4.2,,2.9837,,84.57385023,,,
Zimbabwe,ZWE,38874.273,36.2,,18.0542,29.53589,35.19236284,25.65058817,22.9922,42.42611114
South Sudan,SSD,37362.043,68.1,,25.7547,,15.84481734,,,
Puerto Rico,PRI,37127.543,,,,,100,32.50916088,,
Rwanda,RWA,36571.156,25,60000000,46.4921,12.10285,68.83344246,,,4.649893337
Burundi,BDI,36096.46,53.3,,41.9754,,45.72751068,,,6.195175517
Fiji,FJI,35659.742,10.8,,2.6065,,99.16077717,,,
Republic of Congo,COG,35411.344,26.4,,33.8643,45.8969,20.45974611,,,48.18578211
Syria,SYR,30372.396,9.1,,35.5663,,89.69347966,,,82.82259838
Liberia,LBR,29373.693,34.6,,24.4964,,18.16357204,,,1.188480463
Central African Republic,CAF,28428.914,97,,15.3137,6.18332,14.11863478,13.60380656,0.57208,21.50712991
Solomon Islands,SLB,25591.092,32.7,,,,34.75592548,,,38.63639304
United States,USA,24725.22,2.3,,,97.32572,99.67961928,98.26364733,91.06476,
Jordan,JOR,24551.469,1.9,,366.7059,85.70051,97.08435633,82.27367941,81.99641,
Eritrea,ERI,22050.48,66.5,,,,11.93996659,,,
Jamaica,JAM,21081.39,2.3,,0.3768,,86.60642453,,,66.64750314
Oman,OMN,20692.316,1.6,,,90.55716,99.32024218,,,97.4
Mauritius,MUS,15581.19,5.5,,9.3669,,95.50483772,,13.29201,
Mauritania,MRT,15506.109,37.8,,60.0021,,49.83422278,,,52.72644032
Timor,TLS,14697.341,20.4,,3.8961,,56.76669456,,,28.40753034
Lebanon,LBN,14673.851,2.4,,120.7703,47.7,99.2,16.28275164,22.25117,
Kuwait,KWT,14548.047,0.8,,,100,100,100,84.7,
Trinidad and Tobago,TTO,13632.003,1.6,,,,93.91521101,,,90.06344255
Gabon,GAB,12609.478,17.5,,0.7974,,49.82416677,,,
Gambia,GMB,12108.485,29.5,,1.8349,44.71527,46.87122407,28.96715938,11.14898,17.83862487
Guinea-Bissau,GNB,10623.576,49.4,,2.207,24.32683,18.2250438,12.16331268,21.40018,18.11498491
Samoa,WSM,9819.387,8.2,,,46.22855,96.76586368,47.72143687,46.68055,78.8
Kiribati,KIR,9714.598,37.4,,5.0062,14.68781,45.57596312,26.66472692,30.7972,55.57537702
Belize,BLZ,9239.839,4.3,,0.3681,,88.21427557,,,90.27548266
Vanuatu,VUT,9165.073,25,,6.4463,,52.70704482,,,
Equatorial Guinea,GNQ,9097.311,29.7,,0.0018,,66.31278955,,,24.22103831
Guyana,GUY,8453.712,8.6,,2.4525,,85.78250661,,,77.41722039
Djibouti,DJI,7655.083,37.6,,,,66.72263564,37.08001591,10.93394,
Seychelles,SYC,7462.9385,8.4,,32.7068,,100,,,
Suriname,SUR,5831.1294,7.1,,0.4454,55.76043,89.95421143,25.18060241,23.81762,72.10365538
Bhutan,BTN,4413.268,15.7,,12.378,36.6477,76.50655402,65.2166584,40.99144,91.68614784
Comoros,COM,4297.1846,43.8,,0.3402,,35.90667418,,,15.57353403
Brunei,BRN,3828.569,1.7,,,,96.34904195,,,
"Micronesia, Fed. Sts.",FSM,3771.0254,14,,1.6639,,88.30933155,,,
Northern Mariana Islands,MNP,3633.2212,,,,,79.11631606,,,
Barbados,BRB,3608.1406,7.7,,,,98.09246231,,,88.46935061
Tonga,TON,3284.1992,7.1,,0.5622,29.5042,92.89333236,33.79848179,28.59977,69.53998106
Cape Verde,CPV,3189.5776,12.1,,5.8841,,79.11569269,,,
Maldives,MDV,3025.1208,2.3,,13.684,,99.15533568,,15.35631,95.82998423
Marshall Islands,MHL,2520.117,,,3.6506,,84.15036532,,,85.06834607
Bahamas,BHS,2307.5476,2.6,,,,94.93058233,,,
American Samoa,ASM,1877.3988,4.9648,,1059.3887,80.70283,54.45476038,,57.99981,
Saint Lucia,LCA,1746.317,5.8,,0.3594,,83.36810833,,,87.33165219
Grenada,GRD,1394.4849,6.7,,5.229,,91.49389213,,,
Sao Tome and Principe,STP,1372.8691,16.7,,6.5064,36.16896,47.62107761,34.66002275,,55.43990203
